abandonado|abandon
abandonar|abandon
abandono|abandon
abertura|abertur
abogado|abog
abogados|abog
abre|abre
abren|abren
abres|abres
abrí|abri
abrimos|abrim
abrió|abri
abrir|abrir
abriste|abrist
abro|abro
absoluta|absolut
absoluto|absolut
abstracto|abstract
acaba|acab
acabamos|acab
acaban|acab
acabar|acab
acabas|acab
acabaste|acab
acabé|acab
acabo|acab
acabó|acab
acción|accion
acciones|accion
aceite|aceit
aceituna|aceitun
acepta|acept
aceptamos|acept
aceptan|acept
aceptar|acept
aceptas|acept
acepté|acept
acepto|acept
aceptó|acept
aclaración|aclar
aclarar|aclar
acompañamiento|acompañ
acompañar|acompañ
aconsejar|aconsej
acostumbrar|acostumbr
actividad|activ
actividades|activ
actor|actor
actriz|actriz
actual|actual
actualmente|actual
acuerdo|acuerd
adelante|adel
además|ademas
administración|administr
administrar|administr
admiración|admir
admirar|admir
adolescente|adolescent
adquirir|adquir
adquisición|adquisicion
advertencia|advertent
advertir|advert
afectar|afect
afecto|afect
agradable|agrad
agradecer|agradec
agrícola|agricol
agricultura|agricultur
agua|agu
aguas|agu
ahorrar|ahorr
aire|air
aires|air
alcancé|alcanc
alcanza|alcanz
alcanzamos|alcanz
alcanzan|alcanz
alcanzar|alcanz
alcanzas|alcanz
alcanzo|alcanz
alegre|alegr
alegría|alegr
alemán|aleman
alemana|aleman
alimentación|aliment
alimentar|aliment
almacenar|almacen
alojamiento|aloj
alrededor|alrededor
alto|alto
altura|altur
amable|amabl
amablemente|amabl
amarillo|amarill
ambiente|ambient
amenaza|amenaz
amiga|amig
amigo|amig
amistad|amist
amistoso|amist
análisis|analisis
analizar|analiz
ancho|ancho
anillo|anill
animal|animal
animales|animal
año|año
años|años
anterior|anterior
anticipar|anticip
anunciar|anunci
anuncio|anunci
aparato|aparat
aparece|aparec
aparecemos|aparec
aparecen|aparec
aparecer|aparec
apareces|aparec
aparecí|aparec
aparezco|aparezc
apartamento|apartament
aplicación|aplic
aplicar|aplic
apoyar|apoy
apoyo|apoy
aprender|aprend
aprendizaje|aprendizaj
apretar|apret
aprobar|aprob
aprovechar|aprovech
apuntar|apunt
árbol|arbol
árboles|arbol
arreglar|arregl
arriba|arrib
artículo|articul
artista|artist
asegurar|asegur
asignar|asign
asistir|asist
asociación|asoci
aspecto|aspect
atención|atencion
atender|atend
atracción|atraccion
atractivo|atract
aumentar|aument
aumento|aument
autoridad|autor
autoridades|autor
avanzar|avanz
aventura|aventur
averiguar|averigu
ayuda|ayud
ayudamos|ayud
ayudan|ayud
ayudar|ayud
ayudas|ayud
ayudaste|ayud
ayudé|ayud
ayudo|ayud
ayudó|ayud
azúcar|azuc
bailar|bail
bailarín|bailarin
bajar|baj
banco|banc
bandera|bander
barato|barat
barco|barc
barrio|barri
bastante|bastant
batalla|batall
beber|beb
bebida|beb
belleza|bellez
beneficio|benefici
biblioteca|bibliotec
bicicleta|biciclet
billete|billet
blanco|blanc
boca|boc
bolsa|bols
bondad|bond
bonito|bonit
borrar|borr
bosque|bosqu
botella|botell
brazo|braz
breve|brev
brillante|brillant
busca|busc
buscamos|busc
buscan|busc
buscar|busc
buscas|busc
buscaste|busc
busco|busc
buscó|busc
busqué|busqu
búsqueda|busqued
caballo|caball
cabello|cabell
cabeza|cabez
cabezas|cabez
cadena|caden
cae|cae
caemos|caem
caen|caen
caer|caer
caes|caes
caí|cai
caigo|caig
caíste|caist
calidad|calid
caliente|calient
calle|call
calor|calor
cambia|cambi
cambiamos|cambi
cambian|cambi
cambiar|cambi
cambias|cambi
cambié|cambi
cambió|camb
cambio|cambi
caminar|camin
camino|camin
camisa|camis
campo|camp
canción|cancion
canciones|cancion
cansado|cans
canta|cant
cantaba|cant
cantábamos|cant
cantaban|cant
cantabas|cant
cantada|cant
cantadas|cant
cantado|cant
cantados|cant
cantáis|cant
cantamos|cant
cantan|cant
cantando|cant
cantar|cant
cantará|cant
cantarán|cant
cantarás|cant
cantaré|cant
cantaremos|cant
cantaría|cant
cantaríamos|cant
cantarían|cant
cantarías|cant
cantaron|cant
cantas|cant
cantaste|cant
canté|cant
cantidad|cantid
canto|cant
cantó|cant
capacidad|capac
capital|capital
carácter|caract
cargar|carg
cariño|cariñ
carne|carn
carretera|carreter
carta|cart
casa|cas
casarse|cas
casas|cas
castigo|castig
causar|caus
cayó|cay
celebrar|celebr
cena|cen
central|central
centro|centr
cerca|cerc
cerrar|cerr
certificado|certific
cielo|ciel
ciencia|cienci
científico|cientif
cierto|ciert
cintura|cintur
circunstancia|circunst
ciudad|ciud
ciudades|ciudad
claro|clar
clase|clas
cliente|client
coche|coch
cocina|cocin
cocinar|cocin
colegio|colegi
colocar|coloc
color|color
combinar|combin
come|com
coméis|com
comemos|com
comen|com
comencé|comenc
comenzamos|comenz
comenzar|comenz
comer|com
comerá|com
comerán|com
comerás|com
comercio|comerci
comeré|com
comeremos|com
comes|com
comí|com
comía|com
comíamos|com
comían|com
comías|com
comida|com
comido|com
comiendo|com
comienza|comienz
comienzan|comienz
comienzas|comienz
comienzo|comienz
comieron|com
comimos|com
comió|com
comiste|com
como|<STOP>
comparar|compar
competencia|competent
completar|complet
completo|complet
componer|compon
comportamiento|comport
comprar|compr
comprende|comprend
comprendemos|comprend
comprenden|comprend
comprender|comprend
