abandon|abandon
abandonner|abandon
absolu|absolu
absolue|absolu
accepta|accept
acceptai|accept
acceptant|accept
accepte|accept
accepté|accept
acceptent|acceptent
accepter|accept
acceptera|accept
acceptes|accept
acceptez|accept
acceptons|accepton
accès|acces
accompagner|accompagn
accord|accord
accueillir|accueil
achat|achat
acheter|achet
acheva|achev
achevai|achev
achevant|achev
achevé|achev
achève|achev
achèvent|achèvent
achever|achev
achèvera|achev
achèves|achev
achevez|achev
achevons|achevon
acteur|acteur
action|action
activité|activ
actuel|actuel
actuellement|actuel
addition|addit
admettre|admettr
administration|administr
adresse|adress
affaire|affair
affirmer|affirm
âge|âge
agir|agir
agréable|agréabl
ai|<STOP>
aida|aid
aidai|aid
aidant|aid
aide|aid
aidé|aid
aident|aident
aider|aid
aidera|aid
aides|aid
aidez|aid
aidons|aidon
ailleurs|ailleur
aimable|aimabl
aimablement|aimabl
aimer|aim
ainsi|ains
air|air
airs|air
ajouter|ajout
aliment|aliment
alla|alla
allai|allai
allant|allant
allé|allé
allemand|allemand
allemande|allemand
aller|aller
allez|allez
allons|allon
alors|alor
améliorer|amélior
amener|amen
ami|ami
amie|ami
amis|amis
amitié|amiti
analyse|analys
ancien|ancien
anglais|anglais
anglaise|anglais
animal|animal
animaux|animal
animer|anim
année|anné
années|anné
annoncer|annonc
apparais|appar
apparaissant|apparaiss
apparaissent|apparaissent
apparaissons|apparaisson
apparaît|apparaît
apparaîtra|apparaîtr
apparaître|apparaîtr
apparence|apparent
appartenir|apparten
apparu|apparu
apparut|apparut
appela|appel
appelai|appel
appelant|appel
appelé|appel
appeler|appel
appelez|appel
appelle|appel
appellent|appellent
appellerai|appel
appelles|appel
appelons|appelon
apporta|apport
apportai|apport
apportant|apport
apporte|apport
apporté|apport
apportent|apportent
apporter|apport
apportera|apport
apportes|apport
apportez|apport
apportons|apporton
apprendre|apprendr
approcher|approch
après|apres
arbre|arbre
arbres|arbre
argent|argent
argument|argument
arme|arme
arrêter|arrêt
arriva|arriv
arrivai|arriv
arrivant|arriv
arrive|arriv
arrivé|arriv
arrivent|arrivent
arriver|arriv
arriverai|arriv
arrives|arriv
arrivez|arriv
arrivons|arrivon
art|art
article|articl
as|<STOP>
aspect|aspect
assez|assez
assurer|assur
attaquer|attaqu
atteignant|atteign
atteignent|atteignent
atteignez|atteign
atteignis|atteign
atteignons|atteignon
atteindra|atteindr
atteindre|atteindr
atteins|attein
atteint|atteint
attendre|attendr
attention|attent
attirer|attir
aucun|aucun
augmenter|augment
aujourd|aujourd
auprès|aupres
aussi|auss
autant|aut
auteur|auteur
autour|autour
autre|autr
avaient|<STOP>
avais|<STOP>
avait|<STOP>
avance|avanc
avant|avant
avantage|avantag
avenir|aven
aventure|aventur
avez|<STOP>
avions|<STOP>
avis|avis
avocat|avocat
avoir|avoir
avons|<STOP>
bagage|bagag
baisser|baiss
banque|banqu
barrière|barri
bataille|bataill
bâtiment|bât
battre|battr
beau|beau
beaucoup|beaucoup
beauté|beaut
beaux|beau
belle|bel
belles|bel
besoin|besoin
bien|bien
bientôt|bientôt
billet|billet
blanc|blanc
bleu|bleu
boire|boir
bois|bois
boîte|boît
bon|bon
bonheur|bonheur
bonté|bont
bord|bord
bouche|bouch
bouger|boug
bouteille|bouteil
branche|branch
briller|brill
bruit|bruit
brûler|brûl
bureau|bureau
cacher|cach
cadeau|cadeau
café|caf
calme|calm
campagne|campagn
capable|capabl
capacité|capac
caractère|caracter
carte|cart
