# SQL:2016 feature coverage ledger (7.38 S4.3, design D16).
# Columns: feature_id <TAB> name <TAB> pg <TAB> spg_status <TAB> corpus
# - feature list learned from ISO 9075-2 Core + PG's SQL Conformance
#   appendix (the LIST, not the text — clean-room rule applies).
# - spg_status ∈ {covered, partial, uncovered} and must be evidence-
#   backed: `covered`/`partial` rows name the corpus file or dir that
#   exercises the feature; `uncovered` rows carry `-` and their count
#   is the ledger that must shrink release over release.
# - The `sql2016` suite step machine-checks this file: no empty cells,
#   every named corpus path exists.
E011	Numeric data types	yes	covered	spg_baseline/02_data_types/integer_types.test
E011-01	INTEGER and SMALLINT	yes	covered	spg_baseline/02_data_types/integer_types.test
E011-02	REAL, DOUBLE PRECISION, FLOAT	yes	covered	spg_baseline/02_data_types/float_types.test
E011-03	DECIMAL and NUMERIC	yes	covered	spg_baseline/02_data_types/decimal_numeric.test
E011-04	Arithmetic operators	yes	covered	spg_baseline/02_data_types/integer_arith.test
E011-05	Numeric comparison	yes	covered	spg_baseline/02_data_types/integer_arith.test
E011-06	Implicit casting among numeric types	yes	covered	spg_baseline/02_data_types/decimal_numeric.test
E021	Character string types	yes	covered	spg_baseline/02_data_types/text_varchar_char.test
E021-01	CHARACTER	yes	covered	spg_baseline/02_data_types/bpchar.test
E021-02	CHARACTER VARYING	yes	covered	spg_baseline/02_data_types/text_varchar_char.test
E021-03	Character literals	yes	covered	spg_baseline/02_data_types/text_funcs.test
E021-04	CHARACTER_LENGTH	yes	covered	spg_baseline/02_data_types/text_funcs.test
E021-05	OCTET_LENGTH	yes	partial	spg_baseline/02_data_types/text_funcs.test
E021-06	SUBSTRING	yes	covered	spg_baseline/02_data_types/text_funcs.test
E021-07	Character concatenation	yes	covered	spg_baseline/02_data_types/text_funcs.test
E021-08	UPPER and LOWER	yes	covered	spg_baseline/02_data_types/text_funcs.test
E021-09	TRIM	yes	covered	spg_baseline/02_data_types/text_funcs.test
E021-10	Implicit casting among string types	yes	covered	spg_baseline/02_data_types/text_varchar_char.test
E021-11	POSITION	yes	covered	spg_baseline/02_data_types/text_funcs.test
E021-12	Character comparison	yes	covered	spg_baseline/02_data_types/text_varchar_char.test
E031	Identifiers	yes	covered	spg_baseline/01_basic_dml
E031-01	Delimited identifiers	yes	covered	spg_baseline/11_dialect
E031-02	Lower case identifiers	yes	covered	spg_baseline/01_basic_dml
E031-03	Trailing underscore	yes	covered	spg_baseline/01_basic_dml
E051	Basic query specification	yes	covered	spg_baseline/01_basic_dml
E051-01	SELECT DISTINCT	yes	covered	spg_baseline/05_aggregates
E051-02	GROUP BY clause	yes	covered	spg_baseline/05_aggregates
E051-04	GROUP BY can contain columns not in select list	yes	covered	spg_baseline/05_aggregates
E051-05	Select items can be renamed	yes	covered	spg_baseline/01_basic_dml
E051-06	HAVING clause	yes	covered	spg_baseline/05_aggregates
E051-07	Qualified * in select list	yes	covered	spg_baseline/04_joins
E051-08	Correlation names in FROM	yes	covered	spg_baseline/04_joins
E051-09	Rename columns in FROM clause	yes	partial	spg_baseline/04_joins
E061	Basic predicates and search conditions	yes	covered	spg_baseline/01_basic_dml
